comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
Ghost Racers (2015),(2015),Ghost Racers (2015) #4,"September 30, 2015","THE CURSE OF VICTORY! ROBBIE REYES may have broken free of the KILLISEUM races but what at what terrifying cost? What is the fate of the other racers JOHNNY BLAZE, DANNY KETCH, ALEJANDRA BLAZE, SLADE and ZERO COCHRANE after their betrayal to ARCADE? Can anyone truly win on the TRACK OF TREACHERY?",Francesco Francavilla,Felipe Smith,, Marvel Universe, Comic, Rated T, $3.99
Ghost Racers (2015),(2015),Ghost Racers (2015) #3,"August 12, 2015","THE REAL DEATH RACE BEGINS! ROBBIE REYES: FUGITIVE!!! Can the ALL-NEW GHOST RIDER outrace his doomed destiny? And what kind of VENGEANCE will JOHNNY BLAZE, DANNY KETCH, ALEJANDRA BLAZE, SLADE and ZERO COCHRANE unleash on him?",,Francesco Francavilla,, Marvel Universe, Comic, Rated T, $3.99
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #75,"December 10, 1982",,Bob Budiansky,J. M. DeMatteis,Bob Budiansky,, Comic,, $0.60
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #70,"July 10, 1982",,Bob Budiansky,Roger Stern,Bob Budiansky,, Comic,, $0.60
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #68,"May 10, 1982",,Bob Budiansky,Roger Stern,Bob Budiansky,, Comic,, $0.60
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #45,"June 10, 1980",,Don Perlin,Michael Fleisher,Bob Budiansky,, Comic,, $0.40
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #39,"December 10, 1979",,Don Perlin,Michael Fleisher,Bob Budiansky,, Comic,, $0.40
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #33,"December 01, 1978",Johnny Blaze meets a mysterious psychic while lost in the desert.,Don Perlin,Roger Mckenzie,Bob Budiansky,, Comic,, Free
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #31,"August 01, 1978",Dormammu has claimed control over Ghost Rider! Enter... the Bounty Hunter.,Don Perlin,Roger Mckenzie,Frank Robbins,, Comic,, Free
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #14,"October 01, 1975",The Dezlany Studio turns on Johnny Blaze and Stuntmaster when the crew falls under the possession of the Orb!,George Tuska,Tony Isabella,Ron Wilson,, Comic,, Free
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #8,"October 01, 1974","Just as Ghost Rider stops the One Man Zodiac, Satan himself puts in a bid for the soul of Johnny Blaze! Roxanne is tormented by hellish visions of her father.",Jim Mooney,Tony Isabella,Gil Kane,, Comic,, Free
Ghost Rider (1973 - 1983),(1973 - 1983),Ghost Rider (1973) #4,"February 01, 1974","A gig at Dude Jensen’s Demolition Derby turns into an opportunity for Ghost Rider to exact justice against Red Thompson’s would-be killers! Linda Littletrees puts the moves on Johnny, causing Roxanne to take some distance…",Jim Mooney,Gary Friedrich,Gil Kane,, Comic,, Free
Ghost Rider (1990 - 1998),(1990 - 1998),Ghost Rider (1990) #39,"July 01, 1993",,,,,, Comic,, $1.75
Ghost Rider (1990 - 1998),(1990 - 1998),Ghost Rider (1990) #24,"March 10, 1992",,,,,, Comic,, Free
Ghost Rider (1990 - 1998),(1990 - 1998),Ghost Rider (1990) #11,"March 01, 1991",Ghost Rider and Danny Ketch merge completely and make their way out of Nightmare's Realm. But a certain Sorcerer Supreme is waiting for them when they get out!,Larry Stroman,Howard Mackie,Larry Stroman,, Comic,, $1.50
Ghost Rider (1990 - 1998),(1990 - 1998),Ghost Rider (1990) #6,"October 01, 1990",Ghost Rider vs. The Punisher: Round Two! Two of Marvel's grittiest anti-heroes go head-to-flaming skull...just before the Flag-Smasher makes the mistake of intervening.,,,,, Comic,, $1.50
